# meta_json: {"atom_symbols": ["N", "N", "N", "N", "N", "N", "N", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[2.9399421782000004, -5.0921292238, 0.0], [2.9399421782000004, 5.0921292238, 0.0], [0.0, 0.0, 5.78035016]], "source_format": "phonopy_force_constants", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 1, "transverse_area_m2": 2.9434289974214144e-19}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00	0.000000000000e+00
1.1480627527e-05	0.03776945	1.25985325	4.663493220237e-02	1.584374287378e+17
2.2961255053e-05	0.07553890	2.51970649	4.681636042449e-02	1.590538126298e+17
3.4441882580e-05	0.11330835	3.77955974	4.683770885052e-02	1.591263417312e+17
4.5922510106e-05	0.15107780	5.03941299	4.684462156263e-02	1.591498269660e+17
5.7403137633e-05	0.18884725	6.29926624	4.684770611917e-02	1.591603064324e+17
6.8883765159e-05	0.22661670	7.55911948	4.684932917522e-02	1.591658205999e+17
8.0364392686e-05	0.26438615	8.81897273	4.685026984507e-02	1.591690164298e+17
9.1845020212e-05	0.30215560	10.07882598	4.685084737338e-02	1.591709785234e+17
1.0332564774e-04	0.33992505	11.33867922	4.685121296667e-02	1.591722205894e+17
1.1480627527e-04	0.37769450	12.59853247	4.685144618154e-02	1.591730129131e+17
1.2628690279e-04	0.41546395	13.85838572	4.685159243799e-02	1.591735098045e+17
1.3776753032e-04	0.45323340	15.11823897	4.685167944255e-02	1.591738053936e+17
1.4924815784e-04	0.49100285	16.37809221	4.685172506598e-02	1.591739603946e+17
1.6072878537e-04	0.52877230	17.63794546	4.685174139661e-02	1.591740158762e+17
1.7220941290e-04	0.56654175	18.89779871	4.685173694803e-02	1.591740007626e+17
1.8369004042e-04	0.60431120	20.15765195	4.685171791793e-02	1.591739361098e+17
1.9517066795e-04	0.64208065	21.41750520	4.685168893545e-02	1.591738376448e+17
2.0665129548e-04	0.67985010	22.67735845	4.685165352577e-02	1.591737173440e+17
2.1813192300e-04	0.71761955	23.93721169	4.685161444256e-02	1.591735845628e+17
2.2961255053e-04	0.75538900	25.19706494	4.685157414220e-02	1.591734476464e+17
2.4109317806e-04	0.79315845	26.45691819	4.685153805136e-02	1.591733250315e+17
2.5257380558e-04	0.83092790	27.71677144	4.685168467047e-02	1.591738231550e+17
2.6405443311e-04	0.86869735	28.97662468	1.089869026052e-01	3.702718927507e+17
2.7553506064e-04	0.90646680	30.23647793	1.091400937799e-01	3.707923441522e+17
2.8701568816e-04	0.94423625	31.49633118	1.091880355707e-01	3.709552214996e+17
2.9849631569e-04	0.98200570	32.75618442	1.092136275614e-01	3.710421676795e+17
3.0997694322e-04	1.01977515	34.01603767	1.092301413082e-01	3.710982714512e+17
3.2145757074e-04	1.05754460	35.27589092	1.092418999026e-01	3.711382200772e+17
3.3293819827e-04	1.09531405	36.53574417	1.092507991461e-01	3.711684543498e+17
3.4441882580e-04	1.13308351	37.79559741	1.092578145619e-01	3.711922885098e+17
3.5589945332e-04	1.17085296	39.05545066	1.092635111748e-01	3.712116421716e+17
3.6738008085e-04	1.20862241	40.31530391	1.092682074921e-01	3.712275974307e+17
3.7886070837e-04	1.24639186	41.57515715	1.092721453541e-01	3.712409759155e+17
3.9034133590e-04	1.28416131	42.83501040	1.092754565381e-01	3.712522253256e+17
4.0182196343e-04	1.32193076	44.09486365	1.092782258286e-01	3.712616337078e+17
4.1330259095e-04	1.35970021	45.35471690	1.092807932969e-01	3.712703564197e+17
4.2478321848e-04	1.39746966	46.61457014	1.404793036701e-01	4.772641154013e+17
4.3626384601e-04	1.43523911	47.87442339	2.026558072538e-01	6.885024487810e+17
4.4774447353e-04	1.47300856	49.13427664	2.636811888048e-01	8.958299623866e+17
4.5922510106e-04	1.51077801	50.39412988	2.645768855492e-01	8.988730007790e+17
4.7070572859e-04	1.54854746	51.65398313	2.959967506979e-01	1.005618790048e+18
4.8218635611e-04	1.58631691	52.91383638	2.961261925091e-01	1.006058555408e+18
4.9366698364e-04	1.62408636	54.17368963	2.961856864470e-01	1.006260679998e+18
5.0514761117e-04	1.66185581	55.43354287	3.584833120089e-01	1.217910512952e+18
5.1662823869e-04	1.69962526	56.69339612	3.897025215984e-01	1.323974595412e+18
5.2810886622e-04	1.73739471	57.95324937	3.898324559049e-01	1.324416033974e+18
5.3958949375e-04	1.77516416	59.21310261	3.898532328837e-01	1.324486621642e+18
5.5107012127e-04	1.81293361	60.47295586	4.205862390240e-01	1.428898877440e+18
5.6255074880e-04	1.85070306	61.73280911	4.208497085452e-01	1.429793988283e+18
5.7403137633e-04	1.88847251	62.99266236	4.830953891493e-01	1.641267343539e+18
5.8551200385e-04	1.92624196	64.25251560	4.832309998212e-01	1.641728066974e+18
5.9699263138e-04	1.96401141	65.51236885	5.141231563085e-01	1.746681019855e+18
6.0847325890e-04	2.00178086	66.77222210	5.140234838023e-01	1.746342392674e+18
6.1995388643e-04	2.03955031	68.03207534	4.830601934714e-01	1.641147769811e+18
6.3143451396e-04	2.07731976	69.29192859	5.448046436823e-01	1.850918245895e+18
6.4291514148e-04	2.11508921	70.55178184	6.067273399581e-01	2.061294294816e+18
6.5439576901e-04	2.15285866	71.81163508	5.760519929675e-01	1.957077930102e+18
6.6587639654e-04	2.19062811	73.07148833	5.986164273021e-01	2.033738295799e+18
6.7735702406e-04	2.22839756	74.33134158	6.349533445159e-01	2.157189268272e+18
6.8883765159e-04	2.26616701	75.59119483	5.429307316244e-01	1.844551820683e+18
7.0031827912e-04	2.30393646	76.85104807	6.016202376751e-01	2.043943435368e+18
7.1179890664e-04	2.34170591	78.11090132	6.087663323872e-01	2.068221563763e+18
7.2327953417e-04	2.37947536	79.37075457	7.108054935480e-01	2.414889213128e+18
7.3476016170e-04	2.41724481	80.63060781	7.087464237044e-01	2.407893733211e+18
7.4624078922e-04	2.45501426	81.89046106	7.415557040110e-01	2.519359918859e+18
7.5772141675e-04	2.49278371	83.15031431	6.527197620543e-01	2.217548860958e+18
7.6920204428e-04	2.53055316	84.41016756	6.526508233469e-01	2.217314648726e+18
7.8068267180e-04	2.56832261	85.67002080	6.476847730299e-01	2.200442998956e+18
7.9216329933e-04	2.60609206	86.92987405	7.393954531962e-01	2.512020686906e+18
8.0364392686e-04	2.64386151	88.18972730	8.795156687845e-01	2.988064837151e+18
8.1512455438e-04	2.68163096	89.44958054	8.279320489200e-01	2.812814746492e+18
8.2660518191e-04	2.71940041	90.70943379	7.968076918573e-01	2.707072915825e+18
8.3808580943e-04	2.75716986	91.96928704	9.211611282303e-01	3.129551040767e+18
8.4956643696e-04	2.79493931	93.22914029	9.908848465236e-01	3.366430266847e+18
8.6104706449e-04	2.83270876	94.48899353	9.629592066710e-01	3.271555751861e+18
8.7252769201e-04	2.87047821	95.74884678	9.766024217208e-01	3.317907184363e+18
8.8400831954e-04	2.90824766	97.00870003	8.074117405778e-01	2.743099090500e+18
8.9548894707e-04	2.94601711	98.26855327	8.057602373480e-01	2.737488276612e+18
9.0696957459e-04	2.98378656	99.52840652	9.738094777283e-01	3.308418441829e+18
9.1845020212e-04	3.02155601	100.78825977	8.821975098826e-01	2.997176118926e+18
9.2993082965e-04	3.05932546	102.04811302	8.233228214288e-01	2.797155365902e+18
9.4141145717e-04	3.09709491	103.30796626	8.804928938001e-01	2.991384859534e+18
9.5289208470e-04	3.13486436	104.56781951	9.387585037868e-01	3.189336330549e+18
9.6437271223e-04	3.17263381	105.82767276	1.158517999489e+00	3.935946817482e+18
9.7585333975e-04	3.21040326	107.08752600	7.146476941057e-01	2.427942697893e+18
9.8733396728e-04	3.24817271	108.34737925	1.046795358204e+00	3.556380531419e+18
9.9881459481e-04	3.28594216	109.60723250	1.154813390232e+00	3.923360785137e+18
1.0102952223e-03	3.32371161	110.86708574	9.889301568104e-01	3.359789407785e+18
1.0217758499e-03	3.36148106	112.12693899	8.818547780457e-01	2.996011722444e+18
1.0332564774e-03	3.39925052	113.38679224	7.713539146045e-01	2.620596302069e+18
1.0447371049e-03	3.43701997	114.64664549	9.917445299970e-01	3.369350953822e+18
1.0562177324e-03	3.47478942	115.90649873	8.288654304226e-01	2.815985815009e+18
1.0676983600e-03	3.51255887	117.16635198	9.934919171877e-01	3.375287523694e+18
1.0791789875e-03	3.55032832	118.42620523	1.044379238434e+00	3.548172010769e+18
1.0906596150e-03	3.58809777	119.68605847	1.099483410420e+00	3.735382818417e+18
1.1021402425e-03	3.62586722	120.94591172	1.274061029565e+00	4.328492485062e+18
1.1136208701e-03	3.66363667	122.20576497	1.277286012944e+00	4.339449037376e+18
1.1251014976e-03	3.70140612	123.46561822	1.537130331906e+00	5.222243625555e+18
1.1365821251e-03	3.73917557	124.72547146	1.745077725617e+00	5.928723699961e+18
1.1480627527e-03	3.77694502	125.98532471	1.982122976528e+00	6.734060778312e+18
1.1595433802e-03	3.81471447	127.24517796	2.316306779714e+00	7.869416186845e+18
1.1710240077e-03	3.85248392	128.50503120	1.934787015141e+00	6.573241674375e+18
1.1825046352e-03	3.89025337	129.76488445	1.604386930489e+00	5.450741063891e+18
1.1939852628e-03	3.92802282	131.02473770	2.211255615321e+00	7.512515563507e+18
1.2054658903e-03	3.96579227	132.28459095	2.208713649168e+00	7.503879492601e+18
1.2169465178e-03	4.00356172	133.54444419	2.096798337503e+00	7.123658628560e+18
1.2284271453e-03	4.04133117	134.80429744	1.925402381109e+00	6.541358336809e+18
1.2399077729e-03	4.07910062	136.06415069	2.103498244470e+00	7.146420879569e+18
1.2513884004e-03	4.11687007	137.32400393	1.425255727478e+00	4.842161060200e+18
1.2628690279e-03	4.15463952	138.58385718	1.293258868698e+00	4.393715186713e+18
1.2743496554e-03	4.19240897	139.84371043	1.377731633345e+00	4.680702794435e+18
1.2858302830e-03	4.23017842	141.10356368	1.163724058181e+00	3.953633871244e+18
1.2973109105e-03	4.26794787	142.36341692	1.150164663574e+00	3.907567210155e+18
1.3087915380e-03	4.30571732	143.62327017	1.104953897358e+00	3.753968240191e+18
1.3202721655e-03	4.34348677	144.88312342	1.209570370520e+00	4.109392044380e+18
1.3317527931e-03	4.38125622	146.14297666	1.160853347954e+00	3.943880925854e+18
1.3432334206e-03	4.41902567	147.40282991	9.346687681992e-01	3.175441870750e+18
1.3547140481e-03	4.45679512	148.66268316	8.835639237861e-01	3.001818370887e+18
1.3661946757e-03	4.49456457	149.92253641	1.305137843717e+00	4.434072793535e+18
1.3776753032e-03	4.53233402	151.18238965	1.933426569650e+00	6.568619699486e+18
1.3891559307e-03	4.57010347	152.44224290	2.216814923963e+00	7.531402747968e+18
1.4006365582e-03	4.60787292	153.70209615	1.984938348867e+00	6.743625718867e+18
1.4121171858e-03	4.64564237	154.96194939	1.698699396047e+00	5.771158052513e+18
1.4235978133e-03	4.68341182	156.22180264	1.852464935631e+00	6.293560800188e+18
1.4350784408e-03	4.72118127	157.48165589	1.732888877284e+00	5.887313330140e+18
1.4465590683e-03	4.75895072	158.74150913	2.085821990449e+00	7.086367608244e+18
1.4580396959e-03	4.79672017	160.00136238	2.251170143838e+00	7.648121105725e+18
1.4695203234e-03	4.83448962	161.26121563	1.871758434704e+00	6.359108496735e+18
1.4810009509e-03	4.87225907	162.52106888	2.106565917085e+00	7.156842984595e+18
1.4924815784e-03	4.91002852	163.78092212	1.801531899408e+00	6.120521001138e+18
1.5039622060e-03	4.94779797	165.04077537	2.429583977061e+00	8.254263918679e+18
1.5154428335e-03	4.98556742	166.30062862	2.382041364746e+00	8.092742739276e+18
1.5269234610e-03	5.02333687	167.56048186	1.770890341825e+00	6.016419432492e+18
1.5384040886e-03	5.06110632	168.82033511	1.708431403884e+00	5.804221557173e+18
