# meta_json: {"atom_symbols": ["N", "N", "N", "N", "N", "N", "N", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[2.9399421782000004, -5.0921292238, 0.0], [2.9399421782000004, 5.0921292238, 0.0], [0.0, 0.0, 5.78035016]], "source_format": "phonopy_force_constants", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 2, "transverse_area_m2": 2.9434289974214144e-19}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00	0.000000000000e+00
1.1507467642e-05	0.03785775	1.26279861	4.598811076996e-02	1.562399188506e+17
2.3014935284e-05	0.07571550	2.52559722	4.644393221168e-02	1.577885257377e+17
3.4522402926e-05	0.11357325	3.78839583	4.661623763885e-02	1.583739158637e+17
4.6029870569e-05	0.15143100	5.05119444	4.670540943965e-02	1.586768679678e+17
5.7537338211e-05	0.18928875	6.31399305	4.675530880307e-02	1.588463959689e+17
6.9044805853e-05	0.22714650	7.57679166	4.678528764371e-02	1.589482460243e+17
8.0552273495e-05	0.26500425	8.83959027	4.680440833077e-02	1.590132066096e+17
9.2059741137e-05	0.30286200	10.10238887	4.681720286324e-02	1.590566747295e+17
1.0356720878e-04	0.34071975	11.36518748	4.682609435846e-02	1.590868826783e+17
1.1507467642e-04	0.37857750	12.62798609	4.683245913883e-02	1.591085063708e+17
1.2658214406e-04	0.41643525	13.89078470	4.683712119150e-02	1.591243452196e+17
1.3808961171e-04	0.45429300	15.15358331	4.684059674046e-02	1.591361530429e+17
1.4959707935e-04	0.49215075	16.41638192	4.684322209892e-02	1.591450724307e+17
1.6110454699e-04	0.53000850	17.67918053	4.684522394057e-02	1.591518734836e+17
1.7261201463e-04	0.56786625	18.94197914	4.684675960987e-02	1.591570907635e+17
1.8411948227e-04	0.60572400	20.20477775	4.684794115391e-02	1.591611049390e+17
