# meta_json: {"atom_symbols": ["N", "N", "N", "N", "N", "N", "N", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[2.9399421782000004, -5.0921292238, 0.0], [2.9399421782000004, 5.0921292238, 0.0], [0.0, 0.0, 5.78035016]], "source_format": "phonopy_force_constants", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 3, "transverse_area_m2": 2.99411309637889e-19}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00	0.000000000000e+00
1.1415833801e-05	0.03755629	1.25274296	3.108815602762e-02	1.038309343265e+17
2.2831667603e-05	0.07511258	2.50548592	4.681295857514e-02	1.563500010462e+17
3.4247501404e-05	0.11266887	3.75822887	4.683605041789e-02	1.564271251962e+17
4.5663335205e-05	0.15022516	5.01097183	4.684364975213e-02	1.564525061154e+17
5.7079169006e-05	0.18778145	6.26371479	4.684723555362e-02	1.564644822879e+17
6.8495002808e-05	0.22533773	7.51645775	4.684925602076e-02	1.564712304202e+17
7.9910836609e-05	0.26289402	8.76920070	4.685050595468e-02	1.564754050585e+17
9.1326670410e-05	0.30045031	10.02194366	4.685131800363e-02	1.564781172104e+17
1.0274250421e-04	0.33800660	11.27468662	4.685185731742e-02	1.564799184576e+17
1.1415833801e-04	0.37556289	12.52742958	4.685221610005e-02	1.564811167511e+17
1.2557417181e-04	0.41311918	13.78017253	4.685245029579e-02	1.564818989384e+17
1.3699000562e-04	0.45067547	15.03291549	4.685259601935e-02	1.564823856387e+17
1.4840583942e-04	0.48823176	16.28565845	4.685267780362e-02	1.564826587890e+17
1.5982167322e-04	0.52578805	17.53840141	4.685273083200e-02	1.564828358977e+17
1.7123750702e-04	0.56334434	18.79114436	6.245551675867e-02	2.085943808676e+17
1.8265334082e-04	0.60090062	20.04388732	7.804493700868e-02	2.606612859850e+17
1.9406917462e-04	0.63845691	21.29663028	7.806433850097e-02	2.607260847808e+17
2.0548500842e-04	0.67601320	22.54937324	7.807070838645e-02	2.607473594797e+17
2.1690084222e-04	0.71356949	23.80211619	7.807396069347e-02	2.607582218183e+17
2.2831667603e-04	0.75112578	25.05485915	7.807591308746e-02	2.607647425940e+17
2.3973250983e-04	0.78868207	26.30760211	7.807719292963e-02	2.607690171225e+17
2.5114834363e-04	0.82623836	27.56034507	7.807808207312e-02	2.607719867614e+17
2.6256417743e-04	0.86379465	28.81308803	7.807872735950e-02	2.607741419452e+17
2.7398001123e-04	0.90135094	30.06583098	7.807921268184e-02	2.607757628671e+17
2.8539584503e-04	0.93890723	31.31857394	7.807958889757e-02	2.607770193851e+17
2.9681167883e-04	0.97646352	32.57131690	7.807988811603e-02	2.607780187410e+17
3.0822751263e-04	1.01401980	33.82405986	7.808013231262e-02	2.607788343301e+17
3.1964334644e-04	1.05157609	35.07680281	7.808032343855e-02	2.607794726691e+17
3.3105918024e-04	1.08913238	36.32954577	7.808061077618e-02	2.607804323444e+17
3.4247501404e-04	1.12668867	37.58228873	7.808060709915e-02	2.607804200635e+17
3.5389084784e-04	1.16424496	38.83503169	7.808070854950e-02	2.607807588963e+17
3.6530668164e-04	1.20180125	40.08777464	7.808078168886e-02	2.607810031735e+17
3.7672251544e-04	1.23935754	41.34051760	7.808082710145e-02	2.607811548464e+17
3.8813834924e-04	1.27691383	42.59326056	7.808084910867e-02	2.607812283481e+17
3.9955418304e-04	1.31447012	43.84600352	1.087737983668e-01	3.632922166444e+17
4.1097001685e-04	1.35202641	45.09874647	1.396288098657e-01	4.663444745442e+17
4.2238585065e-04	1.38958269	46.35148943	1.684204397654e-01	5.625052706562e+17
4.3380168445e-04	1.42713898	47.60423239	1.399759726080e-01	4.675039589429e+17
4.4521751825e-04	1.46469527	48.85697535	1.676452192643e-01	5.599161216290e+17
4.5663335205e-04	1.50225156	50.10971830	2.317301363610e-01	7.739525158260e+17
4.6804918585e-04	1.53980785	51.36246126	2.016149162239e-01	6.733710776249e+17
4.7946501965e-04	1.57736414	52.61520422	2.018585202998e-01	6.741846877591e+17
4.9088085345e-04	1.61492043	53.86794718	2.019270296566e-01	6.744135012829e+17
5.0229668726e-04	1.65247672	55.12069014	1.712530214074e-01	5.719657738197e+17
5.1371252106e-04	1.69003301	56.37343309	1.692820870767e-01	5.653830754806e+17
5.2512835486e-04	1.72758930	57.62617605	1.396415630841e-01	4.663870688551e+17
