# meta_json: {"atom_symbols": ["N", "N", "N", "N", "N", "N", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[2.9399421782000004, -5.0921292238, 0.0], [2.9399421782000004, 5.0921292238, 0.0], [0.0, 0.0, 5.78035016]], "source_format": "phonopy_force_constants", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 1, "transverse_area_m2": 2.9434289974214144e-19}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00	0.000000000000e+00
1.2308197058e-05	0.04049202	1.35066851	2.997895007859e-02	1.018504271883e+17
2.4616394117e-05	0.08098405	2.70133701	2.997895198325e-02	1.018504336592e+17
3.6924591175e-05	0.12147607	4.05200552	2.997894114456e-02	1.018503968359e+17
4.9232788234e-05	0.16196809	5.40267402	2.997892405718e-02	1.018503387833e+17
6.1540985292e-05	0.20246012	6.75334253	2.997890145217e-02	1.018502619850e+17
7.3849182351e-05	0.24295214	8.10401104	2.997887342806e-02	1.018501667760e+17
8.6157379409e-05	0.28344416	9.45467954	2.997883992711e-02	1.018500529599e+17
9.8465576468e-05	0.32393619	10.80534805	2.997880082484e-02	1.018499201139e+17
1.1077377353e-04	0.36442821	12.15601655	2.997875595283e-02	1.018497676659e+17
1.2308197058e-04	0.40492023	13.50668506	2.997870510446e-02	1.018495949137e+17
1.3539016764e-04	0.44541225	14.85735357	2.997864803513e-02	1.018494010265e+17
1.4769836470e-04	0.48590428	16.20802207	2.997858445985e-02	1.018491850359e+17
1.6000656176e-04	0.52639630	17.55869058	2.997851404940e-02	1.018489458236e+17
1.7231475882e-04	0.56688832	18.90935909	2.997843642515e-02	1.018486821031e+17
1.8462295588e-04	0.60738035	20.26002759	2.997835115268e-02	1.018483923986e+17
1.9693115294e-04	0.64787237	21.61069610	2.997825773391e-02	1.018480750179e+17
2.0923934999e-04	0.68836439	22.96136460	2.997815559771e-02	1.018477280205e+17
2.2154754705e-04	0.72885642	24.31203311	2.997804408829e-02	1.018473491786e+17
2.3385574411e-04	0.76934844	25.66270162	2.997792245132e-02	1.018469359294e+17
2.4616394117e-04	0.80984046	27.01337012	2.997778981681e-02	1.018464853172e+17
2.5847213823e-04	0.85033249	28.36403863	2.997764517845e-02	1.018459939231e+17
2.7078033529e-04	0.89082451	29.71470713	2.997748741366e-02	1.018454579333e+17
2.8308853234e-04	0.93131653	31.06537564	4.988803577916e-02	1.694895165566e+17
2.9539672940e-04	0.97180856	32.41604415	4.992688818732e-02	1.696215136531e+17
3.0770492646e-04	1.01230058	33.76671265	6.986311996016e-02	2.373528290350e+17
3.2001312352e-04	1.05279260	35.11738116	6.989547647739e-02	2.374627570042e+17
3.3232132058e-04	1.09328462	36.46804966	6.990691052033e-02	2.375016029997e+17
3.4462951764e-04	1.13377665	37.81871817	8.984232697334e-02	3.052301484155e+17
3.5693771470e-04	1.17426867	39.16938668	8.986457161835e-02	3.053057223296e+17
3.6924591175e-04	1.21476069	40.52005518	1.296104199091e-01	4.403381906703e+17
3.8155410881e-04	1.25525272	41.87072369	1.297366055749e-01	4.407668936081e+17
3.9386230587e-04	1.29574474	43.22139219	1.098146254562e-01	3.730839967684e+17
4.0617050293e-04	1.33623676	44.57206070	1.097468483530e-01	3.728537309688e+17
4.1847869999e-04	1.37672879	45.92272921	8.996395800852e-02	3.056433774599e+17
4.3078689705e-04	1.41722081	47.27339771	1.098108192010e-01	3.730710654042e+17
4.4309509410e-04	1.45771283	48.62406622	1.296779477599e-01	4.405676096602e+17
4.5540329116e-04	1.49820486	49.97473472	1.895500897103e-01	6.439771092705e+17
4.6771148822e-04	1.53869688	51.32540323	2.095125314475e-01	7.117974703348e+17
4.8001968528e-04	1.57918890	52.67607174	1.896475651081e-01	6.443082719991e+17
4.9232788234e-04	1.61968093	54.02674024	2.688592788809e-01	9.134219956261e+17
5.0463607940e-04	1.66017295	55.37740875	2.487970080321e-01	8.452624753308e+17
5.1694427646e-04	1.70066497	56.72807726	2.193599383206e-01	7.452530314569e+17
5.2925247351e-04	1.74115699	58.07874576	2.590157466933e-01	8.799795983535e+17
5.4156067057e-04	1.78164902	59.42941427	2.985779091360e-01	1.014388012748e+18
5.5386886763e-04	1.82214104	60.78008277	4.127327438114e-01	1.402217427949e+18
5.6617706469e-04	1.86263306	62.13075128	3.546794203909e-01	1.204987178905e+18
5.7848526175e-04	1.90312509	63.48141979	2.768322854075e-01	9.405094726253e+17
5.9079345881e-04	1.94361711	64.83208829	1.973501202954e-01	6.704769181397e+17
6.0310165586e-04	1.98410913	66.18275680	1.392742274017e-01	4.731699916109e+17
6.1540985292e-04	2.02460116	67.53342530	2.550325103861e-01	8.664469590043e+17
6.2771804998e-04	2.06509318	68.88409381	2.578200765162e-01	8.759174307996e+17
6.4002624704e-04	2.10558520	70.23476232	2.635843948148e-01	8.955011146716e+17
6.5233444410e-04	2.14607723	71.58543082	3.661475100993e-01	1.243948844766e+18
6.6464264116e-04	2.18656925	72.93609933	4.076382971763e-01	1.384909564774e+18
6.7695083822e-04	2.22706127	74.28676783	3.283781241561e-01	1.115631205793e+18
6.8925903527e-04	2.26755330	75.63743634	4.335114073742e-01	1.472810819469e+18
7.0156723233e-04	2.30804532	76.98810485	4.353636744886e-01	1.479103708192e+18
7.1387542939e-04	2.34853734	78.33877335	4.800017600096e-01	1.630757053865e+18
7.2618362645e-04	2.38902937	79.68944186	5.514777573414e-01	1.873589469372e+18
7.3849182351e-04	2.42952139	81.04011036	4.103769615509e-01	1.394213897840e+18
7.5080002057e-04	2.47001341	82.39077887	3.511424019230e-01	1.192970519182e+18
7.6310821763e-04	2.51050543	83.74144738	2.281237463879e-01	7.750271760854e+17
7.7541641468e-04	2.55099746	85.09211588	3.263973421828e-01	1.108901700937e+18
7.8772461174e-04	2.59148948	86.44278439	2.290971023137e-01	7.783340536306e+17
8.0003280880e-04	2.63198150	87.79345290	2.972687977245e-01	1.009940440163e+18
8.1234100586e-04	2.67247353	89.14412140	4.570265202346e-01	1.552701018557e+18
8.2464920292e-04	2.71296555	90.49478991	4.370624521903e-01	1.484875132280e+18
8.3695739998e-04	2.75345757	91.84545841	4.569858291869e-01	1.552562774870e+18
8.4926559703e-04	2.79394960	93.19612692	5.742216543788e-01	1.950859541310e+18
8.6157379409e-04	2.83444162	94.54679543	7.124707574110e-01	2.420546777365e+18
8.7388199115e-04	2.87493364	95.89746393	6.166817798058e-01	2.095113489559e+18
8.8619018821e-04	2.91542567	97.24813244	7.348016676654e-01	2.496413768802e+18
8.9849838527e-04	2.95591769	98.59880094	8.324223237428e-01	2.828069997516e+18
9.1080658233e-04	2.99640971	99.94946945	6.735106590656e-01	2.288183814373e+18
9.2311477939e-04	3.03690174	101.30013796	9.273924695574e-01	3.150721387776e+18
9.3542297644e-04	3.07739376	102.65080646	8.049373964764e-01	2.734692758621e+18
9.4773117350e-04	3.11788578	104.00147497	9.922006974558e-01	3.370900736267e+18
9.6003937056e-04	3.15837780	105.35214347	8.636811540541e-01	2.934268687340e+18
9.7234756762e-04	3.19886983	106.70281198	6.173633197505e-01	2.097428952053e+18
9.8465576468e-04	3.23936185	108.05348049	6.763207660446e-01	2.297730866405e+18
9.9696396174e-04	3.27985387	109.40414899	7.924544566271e-01	2.692283242848e+18
1.0092721588e-03	3.32034590	110.75481750	6.212774842273e-01	2.110726926899e+18
1.0215803559e-03	3.36083792	112.10548600	7.547275508407e-01	2.564109925878e+18
1.0338885529e-03	3.40132994	113.45615451	7.022211030603e-01	2.385724621438e+18
1.0461967500e-03	3.44182197	114.80682302	8.486773265196e-01	2.883294712606e+18
1.0585049470e-03	3.48231399	116.15749152	8.575382690334e-01	2.913398861616e+18
1.0708131441e-03	3.52280601	117.50816003	7.381118191637e-01	2.507659671119e+18
1.0831213411e-03	3.56329804	118.85882853	6.468849746176e-01	2.197725765372e+18
1.0954295382e-03	3.60379006	120.20949704	3.886382024041e-01	1.320358679433e+18
1.1077377353e-03	3.64428208	121.56016555	7.470107843298e-01	2.537892998215e+18
1.1200459323e-03	3.68477411	122.91083405	6.442070064488e-01	2.188627641479e+18
1.1323541294e-03	3.72526613	124.26150256	5.840244529726e-01	1.984163550350e+18
1.1446623264e-03	3.76575815	125.61217107	6.446296021298e-01	2.190063367231e+18
1.1569705235e-03	3.80625017	126.96283957	6.160826914892e-01	2.093078148068e+18
1.1692787206e-03	3.84674220	128.31350808	9.151691586480e-01	3.109193934862e+18
1.1815869176e-03	3.88723422	129.66417658	7.057070162759e-01	2.397567656275e+18
1.1938951147e-03	3.92772624	131.01484509	6.698403713867e-01	2.275714386090e+18
1.2062033117e-03	3.96821827	132.36551360	7.371936428077e-01	2.504540260538e+18
1.2185115088e-03	4.00871029	133.71618210	5.518704902014e-01	1.874923739234e+18
1.2308197058e-03	4.04920231	135.06685061	6.258052905693e-01	2.126109687434e+18
1.2431279029e-03	4.08969434	136.41751911	4.773546221619e-01	1.621763672846e+18
1.2554361000e-03	4.13018636	137.76818762	4.073963918531e-01	1.384087716096e+18
1.2677442970e-03	4.17067838	139.11885613	5.220032477849e-01	1.773452827441e+18
1.2800524941e-03	4.21117041	140.46952463	2.426463276799e-01	8.243661657627e+17
1.2923606911e-03	4.25166243	141.82019314	4.604271716312e-01	1.564254385054e+18
1.3046688882e-03	4.29215445	143.17086164	4.730946752103e-01	1.607290937287e+18
1.3169770853e-03	4.33264648	144.52153015	2.248291758261e-01	7.638342084115e+17
1.3292852823e-03	4.37313850	145.87219866	5.102934849596e-01	1.733670101798e+18
1.3415934794e-03	4.41363052	147.22286716	5.492892601820e-01	1.866154273343e+18
1.3539016764e-03	4.45412255	148.57353567	5.011344994467e-01	1.702553382078e+18
1.3662098735e-03	4.49461457	149.92420417	4.613955466934e-01	1.567544340623e+18
1.3785180705e-03	4.53510659	151.27487268	3.374053609118e-01	1.146300322540e+18
1.3908262676e-03	4.57559861	152.62554119	3.899922753563e-01	1.324959004270e+18
1.4031344647e-03	4.61609064	153.97620969	3.982946250489e-01	1.353165391106e+18
1.4154426617e-03	4.65658266	155.32687820	3.640826845230e-01	1.236933810335e+18
1.4277508588e-03	4.69707468	156.67754671	2.748935196869e-01	9.339227137048e+17
1.4400590558e-03	4.73756671	158.02821521	1.855170208487e-01	6.302751688972e+17
1.4523672529e-03	4.77805873	159.37888372	3.073527237182e-02	1.044199550889e+17
1.4646754500e-03	4.81855075	160.72955222	1.709993129340e-11	5.809527360227e+07
1.4769836470e-03	4.85904278	162.08022073	3.042196493946e-02	1.033555250224e+17
1.4892918441e-03	4.89953480	163.43088924	2.971194700963e-02	1.009433114767e+17
1.5016000411e-03	4.94002682	164.78155774	2.249942388331e-21	7.643949931532e-03
1.5139082382e-03	4.98051885	166.13222625	1.570225825352e-23	5.334682191171e-05
1.5262164353e-03	5.02101087	167.48289475	9.314794953168e-25	3.164606641209e-06
1.5385246323e-03	5.06150289	168.83356326	7.505921118300e-26	2.550060193358e-07
1.5508328294e-03	5.10199492	170.18423177	8.077894024052e-27	2.744382158064e-08
1.5631410264e-03	5.14248694	171.53490027	1.226743678328e-27	4.167736607212e-09
