# meta_json: {"atom_symbols": ["N", "N", "N", "N", "N", "N", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[2.9399421782000004, -5.0921292238, 0.0], [2.9399421782000004, 5.0921292238, 0.0], [0.0, 0.0, 5.78035016]], "source_format": "phonopy_force_constants", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 2, "transverse_area_m2": 2.9434289974214144e-19}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00	0.000000000000e+00
1.2309028360e-05	0.04049476	1.35075973	2.997895007979e-02	1.018504271924e+17
2.4618056720e-05	0.08098952	2.70151946	2.997895198229e-02	1.018504336560e+17
3.6927085080e-05	0.12148427	4.05227919	2.997894114167e-02	1.018503968260e+17
4.9236113440e-05	0.16197903	5.40303892	2.997892405180e-02	1.018503387650e+17
6.1545141800e-05	0.20247379	6.75379865	2.997890144362e-02	1.018502619560e+17
7.3854170160e-05	0.24296855	8.10455839	2.997887341560e-02	1.018501667336e+17
8.6163198520e-05	0.28346331	9.45531812	2.997883990995e-02	1.018500529016e+17
9.8472226880e-05	0.32395806	10.80607785	2.997880080217e-02	1.018499200369e+17
1.1078125524e-04	0.36445282	12.15683758	2.997875592376e-02	1.018497675671e+17
1.2309028360e-04	0.40494758	13.50759731	2.997870506805e-02	1.018495947900e+17
1.3539931196e-04	0.44544234	14.85835704	2.997864799035e-02	1.018494008743e+17
1.4770834032e-04	0.48593710	16.20911677	2.997858440560e-02	1.018491848516e+17
1.6001736868e-04	0.52643185	17.55987650	2.997851398447e-02	1.018489456030e+17
1.7232639704e-04	0.56692661	18.91063623	2.997843634821e-02	1.018486818417e+17
1.8463542540e-04	0.60742137	20.26139596	2.997835106225e-02	1.018483920914e+17
1.9694445376e-04	0.64791613	21.61215569	2.997825762836e-02	1.018480746593e+17
2.0925348212e-04	0.68841089	22.96291542	2.997815547523e-02	1.018477276044e+17
2.2156251048e-04	0.72890564	24.31367516	2.997804394776e-02	1.018473487012e+17
2.3387153884e-04	0.76940040	25.66443489	2.997792248364e-02	1.018469360392e+17
2.4618056720e-04	0.80989516	27.01519462	4.990692762650e-02	1.695536996823e+17
2.5848959556e-04	0.85038992	28.36595435	4.993420627660e-02	1.696463761156e+17
2.7079862392e-04	0.89088468	29.71671408	6.988534817151e-02	2.374283471174e+17
2.8310765228e-04	0.93137943	31.06747381	6.990601843437e-02	2.374985722285e+17
2.9541668064e-04	0.97187419	32.41823354	6.991481783704e-02	2.375284673022e+17
3.0772570900e-04	1.01236895	33.76899327	6.991980043535e-02	2.375453951721e+17
3.2003473736e-04	1.05286371	35.11975300	6.992293305795e-02	2.375560379381e+17
3.3234376572e-04	1.09335847	36.47051273	6.992499906835e-02	2.375630569978e+17
3.4465279408e-04	1.13385322	37.82127246	8.985569703743e-02	3.052755718454e+17
3.5696182244e-04	1.17434798	39.17203220	8.987498413465e-02	3.053410977923e+17
3.6927085080e-04	1.21484274	40.52279193	1.097025717318e-01	3.727033056612e+17
3.8157987916e-04	1.25533750	41.87355166	1.098016089210e-01	3.730397744167e+17
