# meta_json: {"atom_symbols": ["N", "N", "N", "N", "N", "N", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[2.9399421782000004, -5.0921292238, 0.0], [2.9399421782000004, 5.0921292238, 0.0], [0.0, 0.0, 5.78035016]], "source_format": "phonopy_force_constants", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 3, "transverse_area_m2": 2.99411309637889e-19}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00	0.000000000000e+00
1.2308721981e-05	0.04049375	1.35072611	2.997357855796e-02	1.001083713044e+17
2.4617443961e-05	0.08098750	2.70145222	2.997356802722e-02	1.001083361329e+17
3.6926165942e-05	0.12148125	4.05217833	2.997352812324e-02	1.001082028581e+17
4.9234887922e-05	0.16197500	5.40290444	2.997346857936e-02	1.001080039883e+17
6.1543609903e-05	0.20246875	6.75363055	2.997338983492e-02	1.001077409907e+17
7.3852331884e-05	0.24296250	8.10435666	2.997329107986e-02	1.001074111600e+17
8.6161053864e-05	0.28345625	9.45508277	2.997317095697e-02	1.001070099630e+17
9.8469775845e-05	0.32395000	10.80580888	2.997302763886e-02	1.001065312967e+17
1.1077849783e-04	0.36444375	12.15653499	2.997285877617e-02	1.001059673144e+17
1.2308721981e-04	0.40493750	13.50726110	2.997266138872e-02	1.001053080626e+17
1.3539594179e-04	0.44543125	14.85798721	2.997243207407e-02	1.001045421775e+17
1.4770466377e-04	0.48592500	16.20871332	8.972518029399e-02	2.996719810034e+17
1.6001338575e-04	0.52641875	17.55943943	1.296689513320e-01	4.330796705334e+17
1.7232210773e-04	0.56691250	18.91016553	1.496552176085e-01	4.998315454064e+17
1.8463082971e-04	0.60740625	20.26089164	1.497392941645e-01	5.001123516195e+17
1.9693955169e-04	0.64790000	21.61161775	2.095632629545e-01	6.999176591156e+17
2.0924827367e-04	0.68839375	22.96234386	2.096678108074e-01	7.002668371511e+17
2.2155699565e-04	0.72888750	24.31306997	2.096951157434e-01	7.003580325575e+17
2.3386571763e-04	0.76938125	25.66379608	2.097073843300e-01	7.003990082527e+17
2.4617443961e-04	0.80987500	27.01452219	2.693076545464e-01	8.994571877466e+17
2.5848316159e-04	0.85036875	28.36524830	2.892267373483e-01	9.659846773926e+17
2.7079188357e-04	0.89086250	29.71597441	2.891453718472e-01	9.657129257973e+17
2.8310060555e-04	0.93135625	31.06670052	3.884265256368e-01	1.297300780343e+18
2.9540932753e-04	0.97185000	32.41742663	3.889347343119e-01	1.298998139991e+18
3.0771804952e-04	1.01234375	33.76815274	4.285573365012e-01	1.431333161795e+18
3.2002677150e-04	1.05283750	35.11887885	4.875912499685e-01	1.628499773633e+18
3.3233549348e-04	1.09333125	36.46960496	5.480247689283e-01	1.830340909938e+18
3.4464421546e-04	1.13382500	37.82033107	5.878785318210e-01	1.963447982416e+18
3.5695293744e-04	1.17431875	39.17105718	6.670787762135e-01	2.227967864742e+18
3.6926165942e-04	1.21481250	40.52178329	6.680399996803e-01	2.231178242693e+18
3.8157038140e-04	1.25530625	41.87250940	7.635448488614e-01	2.550153665821e+18
3.9387910338e-04	1.29580000	43.22323551	8.264063736361e-01	2.760104067664e+18
4.0618782536e-04	1.33629375	44.57396162	8.076045776313e-01	2.697308189888e+18
4.1849654734e-04	1.37678750	45.92468773	8.477122983920e-01	2.831263452998e+18
4.3080526932e-04	1.41728125	47.27541384	9.264646074490e-01	3.094287281831e+18
4.4311399130e-04	1.45777500	48.62613995	1.006714222332e+00	3.362311943225e+18
4.5542271328e-04	1.49826875	49.97686606	9.664894993199e-01	3.227965905793e+18
4.6773143526e-04	1.53876250	51.32759217	9.662192592689e-01	3.227063334506e+18
4.8004015724e-04	1.57925625	52.67831828	1.085457798453e+00	3.625306605037e+18
4.9234887922e-04	1.61975000	54.02904439	1.243201163111e+00	4.152151649228e+18
5.0465760120e-04	1.66024375	55.37977049	1.225343839364e+00	4.092510202256e+18
5.1696632319e-04	1.70073750	56.73049660	1.169177035343e+00	3.904919412552e+18
5.2927504517e-04	1.74123125	58.08122271	1.095957092290e+00	3.660373062111e+18
5.4158376715e-04	1.78172500	59.43194882	1.016304474193e+00	3.394342302641e+18
5.5389248913e-04	1.82221875	60.78267493	1.071354416469e+00	3.578202900099e+18
5.6620121111e-04	1.86271250	62.13340104	1.033663023484e+00	3.452317899196e+18
5.7850993309e-04	1.90320625	63.48412715	1.054188865501e+00	3.520871896176e+18
5.9081865507e-04	1.94370000	64.83485326	1.272687279505e+00	4.250631951894e+18
6.0312737705e-04	1.98419375	66.18557937	1.173986644220e+00	3.920982963671e+18
6.1543609903e-04	2.02468750	67.53630548	1.193743280740e+00	3.986967901059e+18
6.2774482101e-04	2.06518125	68.88703159	1.052967836824e+00	3.516793798127e+18
