# meta_json: {"atom_symbols": ["N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[4.4099132673, -7.6381938357, 0.0], [4.4099132673, 7.6381938357, 0.0], [0.0, 0.0, 8.67052524]], "source_format": "phonopy_force_constants", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 1, "transverse_area_m2": 6.622715244198181e-19}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00	0.000000000000e+00
1.9458479226e-05	0.06401532	2.13532128	8.331796061140e-02	1.258063460971e+17
3.8916958452e-05	0.12803064	4.27064256	8.331795492834e-02	1.258063375159e+17
5.8375437678e-05	0.19204596	6.40596383	8.331792179235e-02	1.258062874821e+17
7.7833916904e-05	0.25606129	8.54128511	8.331787188754e-02	1.258062121281e+17
9.7292396130e-05	0.32007661	10.67660639	8.331780612328e-02	1.258061128270e+17
1.1675087536e-04	0.38409193	12.81192767	8.331772424384e-02	1.258059891928e+17
1.3620935458e-04	0.44810725	14.94724894	8.331762561535e-02	1.258058402682e+17
1.5566783381e-04	0.51212257	17.08257022	8.331750936132e-02	1.258056647299e+17
1.7512631303e-04	0.57613789	19.21789150	8.331737438119e-02	1.258054609160e+17
1.9458479226e-04	0.64015321	21.35321278	8.331721933527e-02	1.258052268037e+17
2.1404327149e-04	0.70416854	23.48853405	8.331704261349e-02	1.258049599618e+17
2.3350175071e-04	0.76818386	25.62385533	8.331684229124e-02	1.258046574843e+17
2.5296022994e-04	0.83219918	27.75917661	8.331661607146e-02	1.258043159027e+17
2.7241870917e-04	0.89621450	29.89449789	8.331636121004e-02	1.258039310735e+17
2.9187718839e-04	0.96022982	32.02981916	8.331607441959e-02	1.258034980329e+17
3.1133566762e-04	1.02424514	34.16514044	8.331575174481e-02	1.258030108086e+17
3.3079414684e-04	1.08826046	36.30046172	8.331538839952e-02	1.258024621737e+17
3.5025262607e-04	1.15227579	38.43578300	8.331497855301e-02	1.258018433240e+17
3.6971110530e-04	1.21629111	40.57110427	8.331451505999e-02	1.258011434705e+17
3.8916958452e-04	1.28030643	42.70642555	8.331398940031e-02	1.258003497482e+17
4.0862806375e-04	1.34432175	44.84174683	8.331432848764e-02	1.258008617547e+17
