# meta_json: {"atom_symbols": ["N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[4.4099132673, -7.6381938357, 0.0], [4.4099132673, 7.6381938357, 0.0], [0.0, 0.0, 8.67052524]], "source_format": "phonopy_force_constants", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 2, "transverse_area_m2": 6.622715244198181e-19}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00	0.000000000000e+00
1.1660344643e-05	0.03836069	1.27957492	8.331911615187e-02	1.258080909108e+17
2.3320689286e-05	0.07672138	2.55914984	8.331915360139e-02	1.258081474579e+17
3.4981033929e-05	0.11508207	3.83872476	8.331915047993e-02	1.258081427447e+17
4.6641378572e-05	0.15344276	5.11829968	8.331913745781e-02	1.258081230819e+17
5.8301723215e-05	0.19180346	6.39787461	8.331911826987e-02	1.258080941089e+17
6.9962067858e-05	0.23016415	7.67744953	8.331909378636e-02	1.258080571399e+17
8.1622412501e-05	0.26852484	8.95702445	8.331906424905e-02	1.258080125399e+17
9.3282757144e-05	0.30688553	10.23659937	8.331902969611e-02	1.258079603666e+17
1.0494310179e-04	0.34524622	11.51617429	8.331899007910e-02	1.258079005467e+17
1.1660344643e-04	0.38360691	12.79574921	8.331894530270e-02	1.258078329363e+17
1.2826379107e-04	0.42196760	14.07532413	8.331889523761e-02	1.258077573403e+17
1.3992413572e-04	0.46032829	15.35489905	8.331883972728e-02	1.258076735222e+17
1.5158448036e-04	0.49868898	16.63447397	8.331877858943e-02	1.258075812068e+17
1.6324482500e-04	0.53704968	17.91404889	8.331871161633e-02	1.258074800805e+17
1.7490516964e-04	0.57541037	19.19362382	8.331863857350e-02	1.258073697891e+17
1.8656551429e-04	0.61377106	20.47319874	8.331855919831e-02	1.258072499362e+17
1.9822585893e-04	0.65213175	21.75277366	8.331847319763e-02	1.258071200791e+17
