# meta_json: {"atom_symbols": ["N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "N", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta", "Ta"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[4.4099132673, -7.6381938357, 0.0], [4.4099132673, 7.6381938357, 0.0], [0.0, 0.0, 8.67052524]], "source_format": "phonopy_force_constants", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 3, "transverse_area_m2": 6.736754466852503e-19}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00	0.000000000000e+00
1.1488294761e-05	0.03779467	1.26069463	9.268713638670e-04	1.375842578838e+15
2.2976589522e-05	0.07558935	2.52138926	9.184528661826e-04	1.363346208774e+15
3.4464884283e-05	0.11338402	3.78208389	9.043011744882e-04	1.342339518143e+15
4.5953179045e-05	0.15117870	5.04277852	8.842211930636e-04	1.312532907967e+15
5.7441473806e-05	0.18897337	6.30347314	8.579308574348e-04	1.273507683345e+15
6.8929768567e-05	0.22676804	7.56416777	8.250509435803e-04	1.224700926299e+15
8.0418063328e-05	0.26456272	8.82486240	7.850895880038e-04	1.165382517452e+15
9.1906358089e-05	0.30235739	10.08555703	7.374183967032e-04	1.094619672324e+15
1.0339465285e-04	0.34015207	11.34625166	6.812334979177e-04	1.011219128246e+15
1.1488294761e-04	0.37794674	12.60694629	6.154857255566e-04	9.136235090428e+14
1.2637124237e-04	0.41574142	13.86764092	5.387346964981e-04	7.996947182043e+14
1.3785953713e-04	0.45353609	15.12833555	4.487671236073e-04	6.661473649001e+14
1.4934783189e-04	0.49133076	16.38903018	3.410691788659e-04	5.062811485027e+14
1.6083612666e-04	0.52912544	17.64972480	1.793414836816e-04	2.662134779649e+14
1.7232442142e-04	0.56692011	18.91041943	8.624542045505e-05	1.280222114067e+14
1.8381271618e-04	0.60471479	20.17111406	3.181288425954e-05	4.722286438681e+13
1.9530101094e-04	0.64250946	21.43180869	8.293043058180e-03	1.231014593004e+16
2.0678930570e-04	0.68030413	22.69250332	1.388277909368e-02	2.060751829681e+16
2.1827760046e-04	0.71809881	23.95319795	1.575243851814e-02	2.338283010854e+16
2.2976589522e-04	0.75589348	25.21389258	1.631326444199e-02	2.421531691894e+16
2.4125418998e-04	0.79368816	26.47458721	1.630594187049e-02	2.420444733547e+16
2.5274248475e-04	0.83148283	27.73528183	1.602506657493e-02	2.378751764485e+16
2.6423077951e-04	0.86927751	28.99597646	1.560765797372e-02	2.316791869218e+16
2.7571907427e-04	0.90707218	30.25667109	1.512340863820e-02	2.244910173380e+16
2.8720736903e-04	0.94486685	31.51736572	1.460977852763e-02	2.168667212010e+16
2.9869566379e-04	0.98266153	32.77806035	1.408746576108e-02	2.091135402128e+16
