# meta_json: {"atom_symbols": ["N", "Ta"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[1.4699710891, -2.5460646119, 0.0], [1.4699710891, 2.5460646119, 0.0], [0.0, 0.0, 2.89017508]], "source_format": "phonopy_force_constants", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 1, "transverse_area_m2": 7.358572493553535e-20}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00	0.000000000000e+00
3.8713603560e-05	0.12736164	4.24832693	1.172151954832e-02	1.592906716430e+17
7.7427207119e-05	0.25472327	8.49665387	1.172187108497e-02	1.592954488828e+17
1.1614081068e-04	0.38208491	12.74498080	1.172195668251e-02	1.592966121184e+17
1.5485441424e-04	0.50944655	16.99330774	1.172206608476e-02	1.592980988504e+17
1.9356801780e-04	0.63680819	21.24163467	1.172188594659e-02	1.592956508462e+17
2.3228162136e-04	0.76416982	25.48996161	1.172172301979e-02	1.592934367373e+17
2.7099522492e-04	0.89153146	29.73828854	2.713610536165e-02	3.687686081155e+17
3.0970882848e-04	1.01889310	33.98661548	4.285839302046e-02	5.824280872141e+17
3.4842243204e-04	1.14625474	38.23494241	4.288596573098e-02	5.828027891083e+17
3.8713603560e-04	1.27361637	42.48326935	5.834024054186e-02	7.928200828757e+17
4.2584963916e-04	1.40097801	46.73159628	5.844742539141e-02	7.942766812804e+17
4.6456324271e-04	1.52833965	50.97992322	8.182886383778e-02	1.112020896845e+18
5.0327684627e-04	1.65570129	55.22825015	8.189224445207e-02	1.112882213552e+18
5.4199044983e-04	1.78306292	59.47657709	1.051535902018e-01	1.428994418332e+18
5.8070405339e-04	1.91042456	63.72490402	1.207717933094e-01	1.641239430817e+18
6.1941765695e-04	2.03778620	67.97323096	1.516335701369e-01	2.060638395147e+18
6.5813126051e-04	2.16514784	72.22155789	1.980494902076e-01	2.691411824523e+18
6.9684486407e-04	2.29250947	76.46988483	1.983940213494e-01	2.696093862270e+18
7.3555846763e-04	2.41987111	80.71821176	2.060104267314e-01	2.799597706103e+18
7.7427207119e-04	2.54723275	84.96653870	2.288461478708e-01	3.109925845961e+18
8.1298567475e-04	2.67459439	89.21486563	2.585937591981e-01	3.514183755404e+18
8.5169927831e-04	2.80195602	93.46319257	3.034261074991e-01	4.123437090073e+18
8.9041288187e-04	2.92931766	97.71151950	3.284556298922e-01	4.463578094527e+18
9.2912648543e-04	3.05667930	101.95984644	3.854910282347e-01	5.238665903916e+18
9.6784008899e-04	3.18404094	106.20817337	3.816876793904e-01	5.186979943797e+18
1.0065536925e-03	3.31140257	110.45650031	4.260827542587e-01	5.790290910798e+18
1.0452672961e-03	3.43876421	114.70482724	4.738535708065e-01	6.439476830888e+18
1.0839808997e-03	3.56612585	118.95315418	5.223719361367e-01	7.098821634146e+18
1.1226945032e-03	3.69348749	123.20148111	5.786596312863e-01	7.863748461991e+18
1.1614081068e-03	3.82084912	127.44980805	5.435360658597e-01	7.386433528186e+18
1.2001217103e-03	3.94821076	131.69813498	6.877519510700e-01	9.346268609469e+18
1.2388353139e-03	4.07557240	135.94646192	6.989787014379e-01	9.498835569674e+18
1.2775489175e-03	4.20293403	140.19478885	8.375653798611e-01	1.138217202582e+19
1.3162625210e-03	4.33029567	144.44311579	8.713266292650e-01	1.184097364031e+19
1.3549761246e-03	4.45765731	148.69144272	9.462967617804e-01	1.285978717488e+19
1.3936897281e-03	4.58501895	152.93976966	1.067916976982e+00	1.451255631330e+19
1.4324033317e-03	4.71238058	157.18809659	1.151321695242e+00	1.564599242925e+19
1.4711169353e-03	4.83974222	161.43642353	1.255699562067e+00	1.706444508316e+19
1.5098305388e-03	4.96710386	165.68475046	1.385835227706e+00	1.883293572116e+19
1.5485441424e-03	5.09446550	169.93307740	1.417346182700e+00	1.926115675209e+19
1.5872577459e-03	5.22182713	174.18140433	1.583901383360e+00	2.152457402230e+19
1.6259713495e-03	5.34918877	178.42973127	1.719253330630e+00	2.336395180092e+19
1.6646849531e-03	5.47655041	182.67805820	1.708845192178e+00	2.322250944289e+19
1.7033985566e-03	5.60391205	186.92638514	1.637656183208e+00	2.225507983570e+19
1.7421121602e-03	5.73127368	191.17471207	1.522194661783e+00	2.068600483473e+19
1.7808257637e-03	5.85863532	195.42303901	1.449788418649e+00	1.970203351151e+19
1.8195393673e-03	5.98599696	199.67136594	1.474715505821e+00	2.004078246308e+19
1.8582529709e-03	6.11335860	203.91969288	1.222394947642e+00	1.661184895186e+19
1.8969665744e-03	6.24072023	208.16801981	1.034974856647e+00	1.406488632889e+19
1.9356801780e-03	6.36808187	212.41634675	1.079379963277e+00	1.466833362344e+19
1.9743937815e-03	6.49544351	216.66467368	8.137141864625e-01	1.105804403198e+19
2.0131073851e-03	6.62280515	220.91300062	7.093937690186e-01	9.640372091734e+18
2.0518209887e-03	6.75016678	225.16132755	7.716694901959e-01	1.048667375190e+19
2.0905345922e-03	6.87752842	229.40965449	7.415460251345e-01	1.007730814345e+19
2.1292481958e-03	7.00489006	233.65798142	7.254352410815e-01	9.858369156749e+18
2.1679617993e-03	7.13225170	237.90630836	9.200381776741e-01	1.250294372285e+19
2.2066754029e-03	7.25961333	242.15463529	9.004964437518e-01	1.223737952627e+19
2.2453890065e-03	7.38697497	246.40296223	7.858134129337e-01	1.067888389524e+19
2.2841026100e-03	7.51433661	250.65128916	6.506573940236e-01	8.842168703150e+18
2.3228162136e-03	7.64169825	254.89961610	4.053599089122e-01	5.508675891517e+18
2.3615298171e-03	7.76905988	259.14794303	2.494453565317e-01	3.389860693092e+18
2.4002434207e-03	7.89642152	263.39626997	1.081762701183e-01	1.470071406011e+18
2.4389570243e-03	8.02378316	267.64459690	8.104005477213e-02	1.101301303250e+18
2.4776706278e-03	8.15114480	271.89292384	5.379284067080e-02	7.310227726630e+17
2.5163842314e-03	8.27850643	276.14125077	2.267521270555e-34	3.081468956841e-15
2.5550978349e-03	8.40586807	280.38957771	4.760565052244e-87	6.469413811461e-68
2.5938114385e-03	8.53322971	284.63790464	7.000037666867e-96	9.512765788473e-77
2.6325250421e-03	8.66059134	288.88623158	1.045073102381e-103	1.420211737122e-84
2.6712386456e-03	8.78795298	293.13455851	9.294816177540e-111	1.263127622332e-91
2.7099522492e-03	8.91531462	297.38288545	3.487138289448e-117	4.738878760117e-98
2.7486658527e-03	9.04267626	301.63121238	4.346418621277e-123	5.906605697076e-104
2.7873794563e-03	9.17003789	305.87953932	1.513194360935e-128	2.056369441574e-109
2.8260930598e-03	9.29739953	310.12786625	1.290959197895e-133	1.754360915825e-114
2.8648066634e-03	9.42476117	314.37619319	2.437563000306e-138	3.312548734746e-119
2.9035202670e-03	9.55212281	318.62452012	9.391353649490e-143	1.276246671174e-123
2.9422338705e-03	9.67948444	322.87284706	6.909547211453e-147	9.389792948980e-128
2.9809474741e-03	9.80684608	327.12117399	9.187872314292e-151	1.248594387341e-131
3.0196610776e-03	9.93420772	331.36950093	2.107877478930e-154	2.864519552912e-135
