# meta_json: {"atom_symbols": ["N", "Ta"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[1.4699710891, -2.5460646119, 0.0], [1.4699710891, 2.5460646119, 0.0], [0.0, 0.0, 2.89017508]], "source_format": "phonopy_force_constants", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 2, "transverse_area_m2": 7.358572493553535e-20}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00	0.000000000000e+00
3.8713603560e-05	0.12736164	4.24832693	1.170087447166e-02	1.590101134685e+17
7.7427207119e-05	0.25472327	8.49665387	1.170088896360e-02	1.590103104081e+17
1.1614081068e-04	0.38208491	12.74498080	1.170085709591e-02	1.590098773391e+17
1.5485441424e-04	0.50944655	16.99330774	1.170079230454e-02	1.590089968509e+17
1.9356801780e-04	0.63680819	21.24163467	1.170070476790e-02	1.590078072636e+17
2.3228162136e-04	0.76416982	25.48996161	1.170059522103e-02	1.590063185662e+17
2.7099522492e-04	0.89153146	29.73828854	1.946705221185e-02	2.645493025842e+17
3.0970882848e-04	1.01889310	33.98661548	4.280830212829e-02	5.817473724121e+17
3.4842243204e-04	1.14625474	38.23494241	4.284601113471e-02	5.822598224349e+17
3.8713603560e-04	1.27361637	42.48326935	5.589365169793e-02	7.595719379933e+17
4.2584963916e-04	1.40097801	46.73159628	5.829465413669e-02	7.922005822156e+17
4.6456324271e-04	1.52833965	50.97992322	7.336931984254e-02	9.970591430174e+17
5.0327684627e-04	1.65570129	55.22825015	8.919578419700e-02	1.212134340935e+18
5.4199044983e-04	1.78306292	59.47657709	1.202746909497e-01	1.634484012423e+18
5.8070405339e-04	1.91042456	63.72490402	1.282033031105e-01	1.742230619089e+18
6.1941765695e-04	2.03778620	67.97323096	1.513436454082e-01	2.056698436291e+18
6.5813126051e-04	2.16514784	72.22155789	1.717906678775e-01	2.334565135127e+18
6.9684486407e-04	2.29250947	76.46988483	1.855974097708e-01	2.522193128265e+18
7.3555846763e-04	2.41987111	80.71821176	2.064019337952e-01	2.804918127477e+18
7.7427207119e-04	2.54723275	84.96653870	2.283213233265e-01	3.102793694381e+18
8.1298567475e-04	2.67459439	89.21486563	2.518447760266e-01	3.422467825754e+18
8.5169927831e-04	2.80195602	93.46319257	2.672517990121e-01	3.631842986479e+18
8.9041288187e-04	2.92931766	97.71151950	3.079765159222e-01	4.185275285281e+18
9.2912648543e-04	3.05667930	101.95984644	3.612890150873e-01	4.909770412723e+18
9.6784008899e-04	3.18404094	106.20817337	4.077865427598e-01	5.541652856135e+18
1.0065536925e-03	3.31140257	110.45650031	3.977031074344e-01	5.404623081213e+18
1.0452672961e-03	3.43876421	114.70482724	4.114381851965e-01	5.591277188027e+18
1.0839808997e-03	3.56612585	118.95315418	4.977426897084e-01	6.764120216856e+18
1.1226945032e-03	3.69348749	123.20148111	5.756183159949e-01	7.822418227165e+18
1.1614081068e-03	3.82084912	127.44980805	6.386023842362e-01	8.678346035126e+18
1.2001217103e-03	3.94821076	131.69813498	6.520425357849e-01	8.860992214945e+18
1.2388353139e-03	4.07557240	135.94646192	6.349734089956e-01	8.629029741188e+18
1.2775489175e-03	4.20293403	140.19478885	7.867971043795e-01	1.069225186093e+19
1.3162625210e-03	4.33029567	144.44311579	8.692536684246e-01	1.181280294767e+19
1.3549761246e-03	4.45765731	148.69144272	9.132330088580e-01	1.241046425320e+19
1.3936897281e-03	4.58501895	152.93976966	1.009323678115e+00	1.371629727096e+19
1.4324033317e-03	4.71238058	157.18809659	1.146404933592e+00	1.557917564305e+19
1.4711169353e-03	4.83974222	161.43642353	1.232987883189e+00	1.675580262707e+19
1.5098305388e-03	4.96710386	165.68475046	1.349140846881e+00	1.833427404654e+19
1.5485441424e-03	5.09446550	169.93307740	1.400637160694e+00	1.903408795552e+19
1.5872577459e-03	5.22182713	174.18140433	1.535021769780e+00	2.086032000261e+19
1.6259713495e-03	5.34918877	178.42973127	1.627035804111e+00	2.211075321384e+19
1.6646849531e-03	5.47655041	182.67805820	1.619155581968e+00	2.200366420778e+19
1.7033985566e-03	5.60391205	186.92638514	1.603442295446e+00	2.179012705046e+19
1.7421121602e-03	5.73127368	191.17471207	1.508049215968e+00	2.049377399338e+19
1.7808257637e-03	5.85863532	195.42303901	1.418735290798e+00	1.928003416479e+19
1.8195393673e-03	5.98599696	199.67136594	1.451616559250e+00	1.972687719693e+19
1.8582529709e-03	6.11335860	203.91969288	1.205576003060e+00	1.638328635229e+19
1.8969665744e-03	6.24072023	208.16801981	1.003087659606e+00	1.363155232193e+19
1.9356801780e-03	6.36808187	212.41634675	1.027847018230e+00	1.396802191091e+19
1.9743937815e-03	6.49544351	216.66467368	7.811784322444e-01	1.061589639742e+19
2.0131073851e-03	6.62280515	220.91300062	6.833325817891e-01	9.286211182776e+18
2.0518209887e-03	6.75016678	225.16132755	7.886060253172e-01	1.071683435895e+19
2.0905345922e-03	6.87752842	229.40965449	7.669719497405e-01	1.042283609236e+19
2.1292481958e-03	7.00489006	233.65798142	7.545938111881e-01	1.025462223616e+19
2.1679617993e-03	7.13225170	237.90630836	9.195916806410e-01	1.249687601021e+19
2.2066754029e-03	7.25961333	242.15463529	9.044019017326e-01	1.229045310792e+19
2.2453890065e-03	7.38697497	246.40296223	7.873353685252e-01	1.069956665121e+19
2.2841026100e-03	7.51433661	250.65128916	6.498141158247e-01	8.830708896242e+18
2.3228162136e-03	7.64169825	254.89961610	4.172304080975e-01	5.669991135686e+18
2.3615298171e-03	7.76905988	259.14794303	2.688011922939e-01	3.652898609470e+18
2.4002434207e-03	7.89642152	263.39626997	1.083922321018e-01	1.473006241316e+18
2.4389570243e-03	8.02378316	267.64459690	8.117649755764e-02	1.103155505076e+18
2.4776706278e-03	8.15114480	271.89292384	5.367453785599e-02	7.294150856434e+17
2.5163842314e-03	8.27850643	276.14125077	1.257174694536e-35	1.708449153198e-16
2.5550978349e-03	8.40586807	280.38957771	2.574546192768e-90	3.498703308315e-71
