# meta_json: {"atom_symbols": ["N", "Ta"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[1.4699710891, -2.5460646119, 0.0], [1.4699710891, 2.5460646119, 0.0], [0.0, 0.0, 2.89017508]], "source_format": "phonopy_force_constants", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 3, "transverse_area_m2": 7.485282740947223e-20}
# omega_qe	freq_thz	freq_cm^-1	transmission	transmission_per_m2
0.0000000000e+00	0.00000000	0.00000000	0.000000000000e+00	0.000000000000e+00
3.8713603560e-05	0.12736164	4.24832693	1.165342394045e-02	1.556844857269e+17
7.7427207119e-05	0.25472327	8.49665387	1.167669960742e-02	1.559954381355e+17
1.1614081068e-04	0.38208491	12.74498080	1.167725994559e-02	1.560029240006e+17
1.5485441424e-04	0.50944655	16.99330774	1.167710497870e-02	1.560008537128e+17
1.9356801780e-04	0.63680819	21.24163467	1.167691267912e-02	1.559982846772e+17
2.3228162136e-04	0.76416982	25.48996161	1.167667821494e-02	1.559951523416e+17
2.7099522492e-04	0.89153146	29.73828854	1.167639891627e-02	1.559914210374e+17
3.0970882848e-04	1.01889310	33.98661548	4.984353335232e-02	6.658871157887e+17
3.4842243204e-04	1.14625474	38.23494241	5.039519605971e-02	6.732570806448e+17
3.8713603560e-04	1.27361637	42.48326935	5.800165665639e-02	7.748759621210e+17
4.2584963916e-04	1.40097801	46.73159628	5.818743899690e-02	7.773579303637e+17
4.6456324271e-04	1.52833965	50.97992322	5.818158268056e-02	7.772796926198e+17
5.0327684627e-04	1.65570129	55.22825015	6.587908675263e-02	8.801148738477e+17
5.4199044983e-04	1.78306292	59.47657709	1.195378201488e-01	1.596971340773e+18
5.8070405339e-04	1.91042456	63.72490402	1.354824982185e-01	1.809985045419e+18
6.1941765695e-04	2.03778620	67.97323096	1.565923568702e-01	2.092003232071e+18
6.5813126051e-04	2.16514784	72.22155789	1.580821130706e-01	2.111905702717e+18
6.9684486407e-04	2.29250947	76.46988483	1.733078856070e-01	2.315315153815e+18
7.3555846763e-04	2.41987111	80.71821176	1.806396649007e-01	2.413264417022e+18
7.7427207119e-04	2.54723275	84.96653870	1.777177381377e-01	2.374228793865e+18
8.1298567475e-04	2.67459439	89.21486563	2.460636524127e-01	3.287299370358e+18
8.5169927831e-04	2.80195602	93.46319257	2.658398462198e-01	3.551500396445e+18
8.9041288187e-04	2.92931766	97.71151950	3.039379321719e-01	4.060473634607e+18
9.2912648543e-04	3.05667930	101.95984644	3.421605974348e-01	4.571111196148e+18
9.6784008899e-04	3.18404094	106.20817337	3.646161458046e-01	4.871107190247e+18
1.0065536925e-03	3.31140257	110.45650031	3.816272221103e-01	5.098367494158e+18
1.0452672961e-03	3.43876421	114.70482724	4.015495899005e-01	5.364521338705e+18
1.0839808997e-03	3.56612585	118.95315418	4.568990564752e-01	6.103965238024e+18
1.1226945032e-03	3.69348749	123.20148111	4.655772561393e-01	6.219902069863e+18
1.1614081068e-03	3.82084912	127.44980805	4.720921006302e-01	6.306937452712e+18
1.2001217103e-03	3.94821076	131.69813498	6.093647771011e-01	8.140838471841e+18
1.2388353139e-03	4.07557240	135.94646192	6.438255418400e-01	8.601218739781e+18
1.2775489175e-03	4.20293403	140.19478885	6.587733338484e-01	8.800914496452e+18
1.3162625210e-03	4.33029567	144.44311579	7.514426550954e-01	1.003893481518e+19
1.3549761246e-03	4.45765731	148.69144272	7.397380485185e-01	9.882566552521e+18
1.3936897281e-03	4.58501895	152.93976966	8.241738971818e-01	1.101059139254e+19
1.4324033317e-03	4.71238058	157.18809659	8.757070504358e-01	1.169905106784e+19
1.4711169353e-03	4.83974222	161.43642353	7.348485625855e-01	9.817245226631e+18
1.5098305388e-03	4.96710386	165.68475046	9.823115012105e-01	1.312323842942e+19
1.5485441424e-03	5.09446550	169.93307740	9.100638127900e-01	1.215804191085e+19
1.5872577459e-03	5.22182713	174.18140433	1.124718242225e+00	1.502572823432e+19
1.6259713495e-03	5.34918877	178.42973127	1.146403283705e+00	1.531543060403e+19
1.6646849531e-03	5.47655041	182.67805820	1.275319760447e+00	1.703769656517e+19
1.7033985566e-03	5.60391205	186.92638514	1.294612060525e+00	1.729543298936e+19
1.7421121602e-03	5.73127368	191.17471207	1.172563367804e+00	1.566491752395e+19
1.7808257637e-03	5.85863532	195.42303901	1.066470505774e+00	1.424756475717e+19
1.8195393673e-03	5.98599696	199.67136594	9.669004802071e-01	1.291735414239e+19
1.8582529709e-03	6.11335860	203.91969288	9.501274807864e-01	1.269327443824e+19
1.8969665744e-03	6.24072023	208.16801981	8.805834728215e-01	1.176419787064e+19
1.9356801780e-03	6.36808187	212.41634675	8.640409663179e-01	1.154319744786e+19
1.9743937815e-03	6.49544351	216.66467368	8.076666603228e-01	1.079006215630e+19
2.0131073851e-03	6.62280515	220.91300062	7.383236333314e-01	9.863670603817e+18
2.0518209887e-03	6.75016678	225.16132755	6.451036727260e-01	8.618293991716e+18
2.0905345922e-03	6.87752842	229.40965449	6.053242866170e-01	8.086859342074e+18
2.1292481958e-03	7.00489006	233.65798142	7.105022778838e-01	9.491989848254e+18
2.1679617993e-03	7.13225170	237.90630836	1.166715093862e+00	1.558678722287e+19
2.2066754029e-03	7.25961333	242.15463529	1.121721105368e+00	1.498568783824e+19
2.2453890065e-03	7.38697497	246.40296223	9.056263834729e-01	1.209875985738e+19
2.2841026100e-03	7.51433661	250.65128916	6.776230984206e-01	9.052738845973e+18
2.3228162136e-03	7.64169825	254.89961610	5.071031927796e-01	6.774669846545e+18
2.3615298171e-03	7.76905988	259.14794303	3.926331273075e-01	5.245401421642e+18
2.4002434207e-03	7.89642152	263.39626997	2.305954940760e-01	3.080651754336e+18
2.4389570243e-03	8.02378316	267.64459690	1.639740430180e-01	2.190619228329e+18
2.4776706278e-03	8.15114480	271.89292384	6.855739646028e-02	9.158958830673e+17
2.5163842314e-03	8.27850643	276.14125077	2.650813173162e-02	3.541366792548e+17
2.5550978349e-03	8.40586807	280.38957771	3.041413474849e-41	4.063191171406e-22
2.5938114385e-03	8.53322971	284.63790464	2.070532576313e-60	2.766138097879e-41
2.6325250421e-03	8.66059134	288.88623158	3.956737797454e-74	5.286023166245e-55
